subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
001,1,1,layout2,sacc,24.669465,622.135353,0.098804,2.102560
001,1,1,layout2,sacc,22.372450,504.539233,0.098376,2.858453
003,1,1,layout1,sacc,21.942117,485.285521,0.098934,1.100908
003,1,1,layout1,sacc,14.012662,396.276778,0.115105,2.168544
003,1,1,layout1,sacc,9.830667,288.130692,0.066192,2.365695
003,1,1,layout1,sacc,6.900863,130.789938,0.049287,3.220240
003,1,1,layout0,sacc,20.604667,478.163750,0.082035,0.542333
003,1,1,layout0,sacc,22.178917,495.723266,0.098858,1.511429
003,1,1,layout0,sacc,11.701436,221.661810,0.065657,2.053861
003,1,1,layout0,sacc,12.165121,310.124761,0.065480,2.234301
003,1,1,layout0,sacc,21.678749,606.608115,0.082275,2.727083
003,1,1,layout0,sacc,21.864872,609.660585,0.082335,3.762149
004,1,1,layout8,sacc,17.501966,390.474524,0.049262,0.476334
004,1,1,layout8,sacc,22.574076,525.171867,0.098587,0.624166
004,1,1,layout8,sacc,25.529377,631.541584,0.065708,1.001999
004,1,1,layout9,sacc,24.046111,600.352239,0.065791,0.262971
004,1,1,layout9,sacc,21.381486,491.134101,0.082203,0.657189
004,1,1,layout9,sacc,22.527844,495.296139,0.082077,0.887302
015,1,1,layout7,sacc,13.330553,241.495999,0.081967,0.558298
015,1,1,layout7,sacc,13.754120,356.722162,0.065751,0.738908
015,1,1,layout7,sacc,24.656941,446.795519,0.377812,0.919771
015,1,1,layout6,sacc,24.689569,269.749458,0.049443,0.919774
018,1,1,layout4,sacc,19.808867,350.051146,0.082317,0.394503
018,1,1,layout4,sacc,23.290594,625.058012,0.114775,0.739610
018,1,1,layout4,sacc,19.893171,432.334672,0.098638,1.183241
018,1,1,layout5,sacc,8.832653,267.135995,0.066071,0.263088
018,1,1,layout5,sacc,24.519566,486.557827,0.065585,0.509406
018,1,1,layout5,sacc,24.898336,578.363623,0.082612,1.182935
018,1,1,layout5,sacc,20.554114,350.023733,0.065457,1.610310
018,1,1,layout5,sacc,21.378881,501.051365,0.081978,2.415453
001,1,1,layout9,sacc,22.680290,382.937642,0.049234,0.410630
001,1,1,layout9,sacc,19.904086,515.215849,0.115097,0.837698
001,1,1,layout9,sacc,20.803125,510.660334,0.082165,1.379961
001,1,1,layout9,sacc,19.727203,431.966189,0.098659,2.036983
001,1,1,layout9,sacc,21.404246,464.787185,0.065695,2.661375
001,1,1,layout8,sacc,23.105885,437.642949,0.049355,0.328522
001,1,1,layout8,sacc,26.809442,555.840717,0.114943,0.706530
001,1,1,layout8,sacc,17.195003,391.223434,0.082115,3.696465
001,1,1,layout8,sacc,21.656947,406.420306,0.065644,4.074276
008,1,1,layout11,sacc,18.908395,521.815208,0.065468,0.181191
008,1,1,layout11,sacc,17.947054,434.539930,0.082041,0.821869
008,1,1,layout11,sacc,15.866200,373.378424,0.049217,4.583869
008,1,1,layout10,sacc,15.423952,375.459021,0.082262,0.263147
008,1,1,layout10,sacc,21.702836,496.657508,0.066137,1.034816
006,1,1,layout0,sacc,21.498966,493.973162,0.099070,0.163603
006,1,1,layout0,sacc,13.486948,387.683489,0.163858,2.217776
006,1,1,layout0,sacc,4.407617,121.309438,0.065792,2.858207
006,1,1,layout0,sacc,3.614202,87.875847,0.049525,3.104587
006,1,1,layout0,sacc,18.692446,589.767073,0.131485,3.301664
006,1,1,layout0,sacc,3.619391,60.845435,0.049020,4.402762
006,1,1,layout1,sacc,23.758392,594.705775,0.065050,0.148397
006,1,1,layout1,sacc,24.230790,565.217222,0.065655,0.542347
006,1,1,layout1,sacc,21.321937,472.331263,0.098679,1.889256
006,1,1,layout1,sacc,21.466814,540.990618,0.066363,2.464114
006,1,1,layout1,sacc,24.404329,559.396304,0.065787,3.548902
010,1,1,layout6,sacc,24.322439,516.791306,0.082128,0.772634
010,1,1,layout6,sacc,21.879429,627.567441,0.114947,1.248714
010,1,1,layout6,sacc,24.204055,612.192762,0.065689,1.494964
010,1,1,layout7,sacc,16.829390,324.084571,0.049253,0.443283
010,1,1,layout7,sacc,8.536677,173.805982,0.049019,0.624189
010,1,1,layout7,sacc,25.585074,544.755096,0.065813,1.215770
010,1,1,layout7,sacc,22.680060,558.021190,0.065879,1.757636
010,1,1,layout7,sacc,23.422127,637.189837,0.098363,2.595608
018,1,1,layout9,sacc,14.153435,381.701906,0.065643,0.066091
018,1,1,layout9,sacc,14.317435,456.443992,0.098174,0.197420
018,1,1,layout9,sacc,16.703249,497.708079,0.114560,0.608125
018,1,1,layout9,sacc,17.934806,436.553829,0.098623,1.216115
018,1,1,layout9,sacc,8.924153,280.401662,0.131914,1.363462
018,1,1,layout9,sacc,18.082169,493.066234,0.132017,3.531960
018,1,1,layout8,sacc,22.221153,531.612049,0.065499,0.377960
018,1,1,layout8,sacc,25.720519,606.590362,0.098738,0.936274
018,1,1,layout8,sacc,21.409942,524.802701,0.065651,1.708452
012,1,1,layout3,sacc,19.534569,447.115291,0.065739,0.229988
012,1,1,layout3,sacc,17.082772,401.460107,0.065820,1.018478
012,1,1,layout3,sacc,24.454099,671.898591,0.098649,1.363465
012,1,1,layout3,sacc,28.328391,725.353439,0.065673,1.807143
012,1,1,layout2,sacc,20.299812,397.614480,0.049317,0.295735
012,1,1,layout2,sacc,28.060197,728.506564,0.098500,0.542232
012,1,1,layout2,sacc,23.861209,620.165581,0.098547,0.837964
012,1,1,layout2,sacc,27.135563,649.312967,0.082219,1.396427
018,1,1,layout11,sacc,15.999317,421.921585,0.065793,0.197013
018,1,1,layout11,sacc,16.029511,338.915635,0.098700,0.509201
018,1,1,layout11,sacc,22.976698,660.688481,0.114885,0.804706
018,1,1,layout11,sacc,19.578179,425.727538,0.098677,1.297909
018,1,1,layout11,sacc,22.491077,530.301926,0.098447,1.938450
018,1,1,layout11,sacc,21.318865,544.061127,0.066006,2.956882
018,1,1,layout11,sacc,21.170577,561.585760,0.082487,3.449647
009,1,1,layout6,sacc,17.539391,389.919025,0.131241,0.295952
009,1,1,layout7,sacc,15.362401,582.095894,0.131070,0.411209
009,1,1,layout7,sacc,4.273145,94.272521,0.098359,0.575401
009,1,1,layout7,sacc,2.335578,46.806012,0.049246,1.051432
009,1,1,layout7,sacc,3.875562,81.995006,0.049608,1.199494
009,1,1,layout7,sacc,2.849402,57.309704,0.082268,2.776819
009,1,1,layout7,sacc,3.425292,107.088443,0.049066,2.891843
009,1,1,layout7,sacc,2.927116,60.886749,0.081784,3.778913
009,1,1,layout7,sacc,3.642109,105.847486,0.049092,3.877543
018,1,1,layout10,sacc,22.076900,450.296846,0.082157,0.854328
018,1,1,layout10,sacc,25.553171,637.210163,0.098430,1.133751
018,1,1,layout10,sacc,22.399938,556.239797,0.098423,1.627002
004,1,1,layout5,sacc,20.770337,519.159257,0.082107,0.197052
004,1,1,layout5,sacc,21.768988,713.385418,0.098593,0.591336
004,1,1,layout5,sacc,22.692856,528.578866,0.082097,0.952853
004,1,1,layout5,sacc,25.844698,553.742372,0.082152,1.363463
004,1,1,layout4,sacc,15.016212,391.022642,0.082234,0.197128
004,1,1,layout4,sacc,21.591769,525.915921,0.065678,0.755751
004,1,1,layout4,sacc,21.643771,530.514089,0.115112,1.051421
004,1,1,layout4,sacc,19.464880,561.861937,0.098428,1.708669
004,1,1,layout4,sacc,22.191064,498.449041,0.098581,2.053664
017,1,1,layout3,sacc,11.003504,276.145000,0.082405,0.180436
017,1,1,layout3,sacc,19.976673,460.592570,0.065975,0.410866
017,1,1,layout3,sacc,21.425415,502.897030,0.098115,0.723305
001,1,1,layout4,sacc,24.243066,580.248422,0.065649,0.394093
001,1,1,layout4,sacc,19.847113,379.210051,0.065583,0.952710
001,1,1,layout4,sacc,19.170008,499.614253,0.115050,1.773977
001,1,1,layout4,sacc,20.883388,521.442344,0.098684,2.414665
001,1,1,layout5,sacc,19.907458,448.273611,0.114993,0.525700
003,1,1,layout6,sacc,18.315076,480.884009,0.098433,0.345386
003,1,1,layout6,sacc,19.531805,392.913011,0.098415,1.281859
003,1,1,layout6,sacc,19.151588,442.473243,0.098118,2.185429
003,1,1,layout6,sacc,20.192750,572.526854,0.082669,3.548580
003,1,1,layout6,sacc,20.251144,438.140013,0.098610,4.091110
003,1,1,layout7,sacc,16.220946,338.455218,0.065524,0.263319
003,1,1,layout7,sacc,24.473010,558.031887,0.065772,0.953280
003,1,1,layout7,sacc,19.410433,437.521259,0.082385,2.316567
003,1,1,layout7,sacc,20.147581,547.354688,0.098419,3.548993
003,1,1,layout7,sacc,14.474643,435.187369,0.114598,4.156827
003,1,1,layout7,sacc,9.959132,294.588917,0.065674,4.353907
010,1,1,layout10,sacc,3.954425,112.401169,0.049042,0.082755
010,1,1,layout10,sacc,3.316283,76.248754,0.049175,0.312722
010,1,1,layout10,sacc,23.549653,748.355593,0.081562,0.559223
010,1,1,layout10,sacc,17.830547,484.850804,0.098830,0.772444
010,1,1,layout10,sacc,25.119258,571.861164,0.065695,2.185005
010,1,1,layout10,sacc,19.626031,513.732488,0.114722,2.776626
010,1,1,layout10,sacc,21.216352,516.014109,0.115255,3.368070
010,1,1,layout11,sacc,22.005705,449.773056,0.049144,0.525689
010,1,1,layout11,sacc,22.749389,678.658461,0.098405,0.952541
